transaction_amount,transaction_time,customer_age,distance_from_home,previous_fraud_history,merchant_risk_score,num_transactions_last_24hrs,account_type,region,transaction_method,fraud_label
93.85,21,20,8.38,0,0.4,2,Current,West,Online,0
602.02,19,57,16.17,0,0.91,1,Savings,East,POS,0
263.35,6,44,7.33,0,0.44,6,Current,South,POS,0
182.59,2,36,118.89,0,0.53,4,Savings,South,ATM,0
33.92,4,26,3.26,0,0.35,2,Savings,Central,POS,0
33.92,0,68,0.12,1,0.64,2,Current,North,Mobile Banking,0
11.97,14,66,3.16,0,0.74,1,Business,South,ATM,0
402.25,2,30,32.68,0,0.79,6,Savings,South,Online,1
183.82,7,19,2.35,0,0.69,2,Current,East,Online,0
246.25,8,53,9.78,0,0.33,3,Business,South,Online,0
4.16,14,46,8.15,1,0.33,5,Savings,North,Online,0
700.71,9,28,16.44,0,0.35,4,Current,East,Online,0
357.29,1,51,0.84,0,0.04,1,Current,West,POS,0
47.74,19,21,16.13,0,0.94,4,Savings,South,ATM,0
40.14,4,21,6.57,0,0.2,2,Savings,North,ATM,0
40.52,18,69,39.06,1,0.16,5,Current,North,Online,1
72.55,12,18,28.35,0,0.55,2,Savings,Central,Online,0
148.79,10,42,7.65,0,0.05,2,Business,West,POS,0
113.11,0,43,74.2,0,0.84,7,Savings,West,Mobile Banking,0
68.84,21,28,0.8,0,0.88,3,Savings,North,ATM,0
189.27,14,40,23.31,1,0.4,3,Savings,West,POS,0
30.05,17,19,8.53,0,0.97,6,Savings,Central,Online,0
69.1,15,36,8.52,0,0.32,2,Current,Central,POS,0
91.26,8,46,2.8,0,0.26,6,Savings,West,Online,0
121.79,0,57,10.85,0,0.99,6,Savings,Central,Online,0
307.59,10,72,1.33,0,0.25,2,Savings,West,Online,0
44.55,8,69,14.38,0,0.44,2,Savings,West,ATM,0
144.41,22,21,4.15,0,0.61,4,Savings,East,Mobile Banking,0
179.5,10,74,19.36,0,0.32,2,Savings,North,Online,0
9.51,12,33,14.02,0,0.38,0,Savings,South,Online,0
187.07,1,64,20.58,0,0.72,2,Current,Central,Online,0
37.39,13,54,20.78,0,0.72,3,Savings,North,POS,0
13.45,5,44,3.29,0,0.8,2,Savings,Central,Online,0
594.74,7,22,0.01,0,0.59,3,Current,South,Online,0
674.13,17,32,6.83,0,0.23,1,Savings,West,Online,0
330.47,15,40,37.71,0,0.33,2,Savings,North,Online,0
72.66,20,66,12.94,0,0.9,3,Current,South,POS,0
20.56,11,20,19.5,0,0.73,5,Current,Central,POS,0
230.55,10,35,31.75,0,0.09,5,Current,South,Mobile Banking,0
116.02,5,60,35.48,0,0.75,9,Savings,Central,POS,0
26.03,2,43,11.29,0,0.33,5,Savings,Central,POS,0
136.71,13,23,11.68,1,0.02,3,Current,North,ATM,0
7.0,1,61,28.55,0,0.48,2,Savings,South,POS,0
480.08,10,71,24.71,0,0.88,1,Savings,North,POS,0
59.89,21,34,18.0,0,0.44,2,Savings,South,Online,0
217.25,2,63,13.91,0,0.99,4,Savings,Central,Mobile Banking,0
74.71,17,55,14.4,0,0.18,1,Savings,West,Online,0
146.82,0,59,6.76,1,0.35,2,Current,East,ATM,0
158.24,23,65,27.58,0,0.02,5,Savings,West,Online,0
40.88,0,67,14.43,0,0.05,1,Savings,North,Online,0
698.56,11,44,3.79,1,0.35,1,Savings,South,POS,0
298.45,14,37,4.11,0,0.53,7,Savings,North,Online,0
561.02,4,23,29.66,0,0.24,0,Business,West,Online,0
450.43,5,68,14.74,0,0.17,1,Savings,East,Online,0
182.21,15,52,7.63,0,0.42,3,Savings,East,Online,0
509.89,11,29,3.11,0,0.17,3,Savings,West,Online,0
18.53,11,65,14.13,1,0.63,5,Savings,West,Online,0
43.63,2,20,3.06,0,0.96,2,Current,South,Mobile Banking,0
9.26,22,65,9.53,0,0.81,2,Savings,South,Online,0
78.71,1,21,16.98,1,0.22,2,Savings,South,POS,0
98.43,6,74,12.5,0,0.95,3,Current,North,Online,0
63.31,1,69,38.28,0,0.75,4,Current,North,Online,0
352.91,20,62,0.61,0,0.15,4,Savings,West,ATM,0
88.25,6,21,4.92,0,0.58,3,Savings,North,Online,0
65.96,10,21,0.88,0,0.97,4,Savings,West,Online,0
156.48,10,56,3.25,0,0.1,3,Savings,Central,Online,0
30.38,13,38,1.99,0,0.27,5,Savings,East,Mobile Banking,0
324.1,2,61,19.79,0,0.37,3,Savings,North,POS,0
15.5,13,19,6.92,0,0.12,3,Savings,North,POS,0
866.83,10,33,38.86,0,0.3,4,Savings,West,Online,1
295.9,3,24,0.35,0,0.69,4,Savings,Central,POS,0
44.31,16,36,15.87,1,0.48,2,Savings,Central,Online,0
1.11,15,60,52.87,0,0.42,3,Savings,West,Online,0
337.98,2,50,2.9,0,0.43,6,Savings,Central,POS,0
245.42,9,26,8.76,0,0.76,4,Current,Central,POS,0
261.13,20,54,18.15,0,0.99,2,Current,North,Online,0
295.04,14,34,15.04,0,0.59,2,Current,Central,POS,0
15.39,7,44,12.52,0,0.75,0,Savings,North,ATM,0
88.78,17,50,5.93,0,0.37,2,Savings,North,POS,0
24.63,2,66,19.54,0,0.86,2,Current,South,ATM,0
397.71,6,29,15.89,0,0.42,3,Savings,East,ATM,0
195.26,9,74,2.67,0,0.94,0,Savings,North,Mobile Banking,0
80.36,19,62,49.9,0,0.74,4,Current,North,POS,0
13.13,8,73,12.17,0,0.71,2,Savings,West,Online,0
74.5,13,28,11.18,0,0.29,7,Current,East,POS,0
78.66,22,30,28.28,0,0.8,4,Savings,South,ATM,0
261.58,13,48,15.34,0,0.11,7,Business,Central,Mobile Banking,0
202.98,10,30,1.16,0,0.54,1,Savings,North,Online,0
436.45,0,55,10.6,0,0.74,4,Savings,East,POS,0
127.81,3,43,22.75,0,0.88,1,Savings,East,ATM,0
